Item,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
Aluguel de Escritório,"3.000,00","3.000,00","3.000,00","3.000,00",-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (condomínio),-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (CELPE),-,"358,87","436,48","604,74",-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (COMPESA),-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (IPTU/TPEI),-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (internet e telefone),"289,89","299,89","299,89","302,94",-,-,-,-,-,-,-,-
"Locomoção - Passagens, Hospedagens e Transporte",-,-,-,-,-,-,-,-,-,-,-,-
Locomoção - Locação de Automóvel,"5.166,46","4.666,48","5.166,46","4.999,80",-,-,-,-,-,-,-,-
Peças e acessórios de veículos,-,-,-,-,-,-,-,-,-,-,-,-
"Serviços de Consultoria, Assessoria, Pesquisas e Trabalhos técnicos ","4.500,00","4.500,00","4.500,00","4.800,00",-,-,-,-,-,-,-,-
Material de expediente,-,-,-,-,-,-,-,-,-,-,-,-
"Locação de móveis e equipamentos, aquisição ou locação de software",-,-,-,-,-,-,-,-,-,-,-,-
"Assinaturas de jornais, revistas e publicações",-,-,-,-,-,-,-,-,-,-,-,-
Serviços gráficos e cópias,-,-,-,-,-,-,-,-,-,-,-,-
