Item,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
Aluguel de Escritório,"2.588,00","2.588,00","2.588,00","2.588,00","2.588,00",-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (condomínio),-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (CELPE),-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (COMPESA),-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (IPTU/TPEI),-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (internet e telefone),-,-,-,-,-,-,-,-,-,-,-,-
"Locomoção - Passagens, Hospedagens e Transporte",-,-,-,-,-,-,-,-,-,-,-,-
Locomoção - Locação de Automóvel,"13.950,00","12.600,00","13.950,00","13.500,00","13.950,00",-,-,-,-,-,-,-
Peças e acessórios de veículos,-,-,-,-,-,-,-,-,-,-,-,-
"Serviços de Consultoria, Assessoria, Pesquisas e Trabalhos técnicos ",-,-,-,-,-,-,-,-,-,-,-,-
Material de expediente,-,-,-,-,-,-,-,-,-,-,-,-
"Locação de móveis e equipamentos, aquisição ou locação de software",-,-,-,-,-,-,-,-,-,-,-,-
"Assinaturas de jornais, revistas e publicações",-,-,-,-,-,-,-,-,-,-,-,-
Serviços gráficos e cópias,-,-,-,-,-,-,-,-,-,-,-,-
