Item,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
Aluguel de Escritório,"3.200,00","3.200,00","3.200,00","3.200,00","3.200,00",-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (condomínio),-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (CELPE),"71,90","74,23",-,"112,31","150,98",-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (COMPESA),-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (IPTU/TPEI),-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (internet e telefone),"576,00","576,00","576,00","576,00","576,00",-,-,-,-,-,-,-
"Locomoção - Passagens, Hospedagens e Transporte",-,-,-,-,-,-,-,-,-,-,-,-
Locomoção - Locação de Automóvel,"3.300,00","3.300,00","3.300,00","3.300,00","3.300,00",-,-,-,-,-,-,-
Peças e acessórios de veículos,-,-,-,-,-,-,-,-,-,-,-,-
"Serviços de Consultoria, Assessoria, Pesquisas e Trabalhos técnicos ",-,-,-,-,-,-,-,-,-,-,-,-
Material de expediente,-,-,-,-,-,-,-,-,-,-,-,-
"Locação de móveis e equipamentos, aquisição ou locação de software","8.000,00","8.000,00","8.000,00","8.000,00","8.000,00",-,-,-,-,-,-,-
"Assinaturas de jornais, revistas e publicações",-,-,-,-,-,-,-,-,-,-,-,-
Serviços gráficos e cópias,-,-,-,-,-,-,-,-,-,-,-,-
